# awk -F: '{printf("%s:%s\n",$1,$2)}' ~/Downloads/ascl2.txt |awk '{if(NF==2) print $0; else printf("# %s\n",$0)}'  > asclKeywords.txt
# see also https://ascl.net/code/utility/ascl2 (need to be adm)
# ASCL ID	Title:
ascl:9903.001	LENSKY
ascl:9904.001	BSGMODEL
ascl:9905.001	CONSKY
ascl:9905.002	ICOSAHEDRON
ascl:9906.001	SLOPES
ascl:9906.002	EXTINCT
ascl:9909.001	PMCode
ascl:9909.002	ANGSIZ
ascl:9909.003	ISIS
ascl:9909.004	CMBFAST
ascl:9909.005	BLOCK
ascl:9910.001	Cloudy
ascl:9910.002	SPECTRUM
ascl:9910.003	FASTELL
ascl:9910.004	COSMICS
ascl:9910.005	XSPEC
ascl:9910.006	BHSKY
ascl:9910.007	WINGSPAN
ascl:9910.008	XSTAR
ascl:9910.009	RADPACK
ascl:9911.001	DUSTY
ascl:9911.002	IRAF
ascl:9911.003	AIPS
ascl:9911.004	CHIANTI
ascl:9912.001	SPH_1D
ascl:9912.002	FTOOLS
# ascl:9912.003	RVSAO 2.0
ascl:9912.003	RVSAO
ascl:0003.001	GADGET-2
ascl:0003.002	SAOImage DS9:
ascl:0003.002	SAOImage
ascl:0003.002	DS9
ascl:0008.001	DDSCAT
ascl:0008.002	RATRAN
ascl:0011.001	StarFinder
ascl:0101.001	MILLISEARCH
ascl:0104.001	MLAPM
ascl:0104.002	CSENV
ascl:0202.001	PopRatio
ascl:1004.001	GIM2D
ascl:1007.001	PINTofALE
ascl:1007.002	INFALL
ascl:1007.003	GEMINI
ascl:1007.004	CMBEASY
# ascl:1007.005	Arcetri Spectral Code for Thin Plasmas
ascl:1007.006	AMIGA
ascl:1010.001	CFITSIO
ascl:1010.002	fpack
ascl:1010.003	AMBER
ascl:1010.004	Needatool
# ascl:1010.005	Particle module of Piernik MHD code
ascl:1010.006	DSPSR
ascl:1010.007	JAVELIN
ascl:1010.008	midIR_sensitivity
ascl:1010.009	ModeCode
# ascl:1010.010	Fast WMAP Likelihood Code and GSR PC Functions
ascl:1010.011	PSpectRe
ascl:1010.012	glafic
ascl:1010.013	AstroGK
ascl:1010.014	Athena
# ascl:1010.015	Fyris Alpha
ascl:1010.016	SpDust
ascl:1010.017	AOFlagger
# ascl:1010.018	Emu CMB
ascl:1010.019	NBSymple
ascl:1010.020	Libpsht
ascl:1010.021	velfit
ascl:1010.022	GR1D
ascl:1010.023	AstroSim
ascl:1010.024	ADAPTSMOOTH
ascl:1010.025	SimFast21
ascl:1010.026	SingLe
ascl:1010.027	SNANA
ascl:1010.028	GALPROP
ascl:1010.029	DNEST
ascl:1010.030	CosmicEmu
ascl:1010.031	DimReduce
# ascl:1010.032	Extreme Deconvolution
# ascl:1010.033	GALEV Evolutionary Synthesis Models
ascl:1010.033	GALEV
ascl:1010.034	iCosmo
ascl:1010.035	SLR
ascl:1010.036	Montage
ascl:1010.037	FastChi
# ascl:1010.038	Low Resolution Spectral Templates For AGNs and Galaxies From 0.03 -- 30 microns
# ascl:1010.039	Parameter Estimation from Time-Series Data with Correlated Errors
# ascl:1010.040	Cosmic String Simulations
# ascl:1010.041	FASTLens (FAst STatistics for weak Lensing)
ascl:1010.041	FASTLens
ascl:1010.042	WeightMixer
ascl:1010.043	FSPS
ascl:1010.044	MAESTRO
ascl:1010.045	PLUTO
ascl:1010.046	indexf
# ascl:1010.047	ISW and Weak Lensing Likelihood Code
ascl:1010.048	OCTGRAV
# ascl:1010.049	Gas-momentum-kinetic SZ cross-correlations
ascl:1010.050	LensPerfect
ascl:1010.051	NEMO
ascl:1010.052	EAZY
# ascl:1010.053	Halofitting codes for DGP and Degravitation
ascl:1010.054	MagnetiCS.c
ascl:1010.055	SYNOW
ascl:1010.056	PHOENIX
# ascl:1010.057	Tiny Tim
ascl:1010.057	TinyTim
ascl:1010.058	VINE
ascl:1010.059	CESAM
ascl:1010.060	Pencil
ascl:1010.061	EyE
ascl:1010.062	MissFITS
ascl:1010.063	SCAMP
ascl:1010.064	SExtractor
# ascl:1010.065	Higher Post Newtonian Gravity Calculations
ascl:1010.066	SkyMaker
ascl:1010.067	Stuff
ascl:1010.068	SWarp
ascl:1010.069	WeightWatcher
