,Repo,Author,Language,Bytes
0,Eclairs,0satoken,C++,219978
1,Eclairs,0satoken,Jupyter Notebook,46397
2,Eclairs,0satoken,Makefile,2142
3,Crab.Toolkit.michi2,1054,Python,1199268
4,Crab.Toolkit.michi2,1054,Shell,862626
5,Crab.Toolkit.michi2,1054,Fortran,458353
6,Crab.Toolkit.michi2,1054,Prolog,173935
7,Crab.Toolkit.michi2,1054,IDL,107971
8,Crab.Toolkit.michi2,1054,Makefile,2800
9,PRISM,1313e,Python,910299
10,PRISM,1313e,Jupyter Notebook,78845
11,PRISM,1313e,TeX,6351
12,exostriker,3fon3fonov,Python,5826713
13,exostriker,3fon3fonov,Fortran,1747617
14,exostriker,3fon3fonov,Jupyter Notebook,75609
15,exostriker,3fon3fonov,Assembly,20621
16,exostriker,3fon3fonov,C,6542
17,exostriker,3fon3fonov,Shell,5688
18,exostriker,3fon3fonov,C++,2253
19,exostriker,3fon3fonov,MATLAB,1752
20,exostriker,3fon3fonov,Pascal,1492
21,fourpisky-core,4pisky,HTML,4890745
22,fourpisky-core,4pisky,Python,203440
23,fourpisky-core,4pisky,Jupyter Notebook,13027
24,fourpisky-core,4pisky,Shell,743
25,AskaryanModule,918particle,C++,47462
26,AskaryanModule,918particle,MATLAB,14572
27,AskaryanModule,918particle,Gnuplot,4028
28,AskaryanModule,918particle,C,1053
29,AskaryanModule,918particle,M,802
30,LensCNN,A-Davies,Python,14671
31,ACS,ACS-Community,Java,14083813
32,ACS,ACS-Community,C++,7908903
33,ACS,ACS-Community,Python,4263321
34,ACS,ACS-Community,Emacs Lisp,1990066
35,ACS,ACS-Community,HTML,1857062
36,ACS,ACS-Community,Makefile,1624759
37,ACS,ACS-Community,Shell,1198873
38,ACS,ACS-Community,C,750833
39,ACS,ACS-Community,Tcl,227078
40,ACS,ACS-Community,Perl,120411
41,ACS,ACS-Community,XSLT,100454
42,ACS,ACS-Community,PLSQL,54045
43,ACS,ACS-Community,Smarty,21615
44,ACS,ACS-Community,CSS,21364
45,ACS,ACS-Community,JavaScript,19058
46,ACS,ACS-Community,GAP,14867
47,ACS,ACS-Community,Roff,9920
48,ACS,ACS-Community,FreeMarker,7369
49,ACS,ACS-Community,Lex,5101
50,ACS,ACS-Community,Yacc,5006
51,ACS,ACS-Community,Module Management System,4925
52,ACS,ACS-Community,Batchfile,2346
53,ACS,ACS-Community,Elixir,906
54,ACS,ACS-Community,Haskell,764
55,ACS,ACS-Community,Awk,633
56,ACS,ACS-Community,Gnuplot,437
57,oxaf,ADThomas-astro,Python,30843
58,ebhlight,AFD-Illinois,C,379765
59,ebhlight,AFD-Illinois,Python,206374
60,Castro,AMReX-Astro,C++,1943472
61,Castro,AMReX-Astro,Fortran,1721142
62,Castro,AMReX-Astro,Python,427767
63,Castro,AMReX-Astro,Jupyter Notebook,403435
64,Castro,AMReX-Astro,Shell,122143
65,Castro,AMReX-Astro,C,118863
66,Castro,AMReX-Astro,Roff,77066
67,Castro,AMReX-Astro,Makefile,44542
68,Castro,AMReX-Astro,Gnuplot,17495
69,Castro,AMReX-Astro,TeX,16003
70,Castro,AMReX-Astro,Modula-3,12941
71,Castro,AMReX-Astro,Macaulay2,5730
72,Castro,AMReX-Astro,GAP,2361
73,Castro,AMReX-Astro,HTML,1372
74,Castro,AMReX-Astro,Objective-C,720
75,MAESTROeX,AMReX-Astro,C++,1787206
76,MAESTROeX,AMReX-Astro,Fortran,444555
77,MAESTROeX,AMReX-Astro,Python,191746
78,MAESTROeX,AMReX-Astro,Roff,45559
79,MAESTROeX,AMReX-Astro,C,32633
80,MAESTROeX,AMReX-Astro,Makefile,27851
81,MAESTROeX,AMReX-Astro,TeX,26066
82,MAESTROeX,AMReX-Astro,Jupyter Notebook,22380
83,MAESTROeX,AMReX-Astro,Shell,17872
84,MAESTROeX,AMReX-Astro,CSS,903
85,MAESTROeX,AMReX-Astro,HTML,670
86,Nyx,AMReX-Astro,Fortran,2023535
87,Nyx,AMReX-Astro,C++,855138
88,Nyx,AMReX-Astro,C,697254
89,Nyx,AMReX-Astro,TeX,141185
90,Nyx,AMReX-Astro,Makefile,34974
91,Nyx,AMReX-Astro,Python,13205
92,Nyx,AMReX-Astro,Shell,13165
93,Nyx,AMReX-Astro,Gnuplot,4230
94,Nyx,AMReX-Astro,Roff,3708
95,Nyx,AMReX-Astro,Objective-C,3033
96,wdmerger,AMReX-Astro,TeX,2643670
97,wdmerger,AMReX-Astro,Python,208397
98,wdmerger,AMReX-Astro,Shell,171189
99,wdmerger,AMReX-Astro,Makefile,4285
100,amrex,AMReX-Codes,C++,10011230
101,amrex,AMReX-Codes,Fortran,3015353
102,amrex,AMReX-Codes,C,575279
103,amrex,AMReX-Codes,Mathematica,340520
104,amrex,AMReX-Codes,Python,297442
105,amrex,AMReX-Codes,CMake,160303
106,amrex,AMReX-Codes,Makefile,123733
107,amrex,AMReX-Codes,Perl,113720
108,amrex,AMReX-Codes,Shell,60850
109,amrex,AMReX-Codes,Yacc,28247
110,amrex,AMReX-Codes,MATLAB,16821
111,amrex,AMReX-Codes,TeX,14030
112,amrex,AMReX-Codes,Jupyter Notebook,10011
